key,value
experiment_id,"exp-estimator-baseline-xval"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf/simulation/dataset_allsensor_001_xval"
command,"script/proprio_estimator.py run --estimator ekf --bag dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3 --noise output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise.yaml --allow-foreign-noise --experiment-id exp-estimator-baseline-xval --out output/output_ekf/simulation/dataset_allsensor_001_xval"
generated,"2026-09-17T19:17:42"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"16364"
first_stamp_s,"9.545"
last_stamp_s,"91.36"
duration_s,"81.815"
mean_rate_hz,"200.01222269754936"
gt_count,"4091"
gt_first_stamp_s,"9.56"
gt_last_stamp_s,"91.36"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_updates,"4091"
param_speed_sigma,"0.04068130046314097"
param_yaw_sigma,"0.06587401961518753"
param_gyro_bias_final,"0.0004120514962406675"
param_gyro_bias_initial,"6.48448627588984e-05"
