key,value
experiment_id,"exp-estimator-baseline"
estimator,"wheel"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_003/dataset_allsensor_003_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_003/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_wheel/simulation/dataset_allsensor_003"
command,"script/proprio_estimator.py run --estimator wheel --bag /home/ambushee/wil_project/dataset/dataset_allsensor_003/dataset_allsensor_003_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_003/sensor_noise.yaml --experiment-id exp-estimator-baseline --out /home/ambushee/wil_project/output/output_wheel/simulation/dataset_allsensor_003"
generated,"2026-09-18T13:01:01"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"102384"
first_stamp_s,"49.967"
last_stamp_s,"152.35"
duration_s,"102.383"
mean_rate_hz,"1000.0097672465156"
gt_count,"5119"
gt_first_stamp_s,"49.98"
gt_last_stamp_s,"152.34"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_speed_sigma,"0.06071107984573065"
param_yaw_sigma,"0.11915381308045207"
param_updates,"0"
