key,value
experiment_id,"exp-estimator-baseline"
estimator,"imu"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_003/dataset_allsensor_003_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_003/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_imu/simulation/dataset_allsensor_003"
command,"script/proprio_estimator.py run --estimator imu --bag /home/ambushee/wil_project/dataset/dataset_allsensor_003/dataset_allsensor_003_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_003/sensor_noise.yaml --experiment-id exp-estimator-baseline --out /home/ambushee/wil_project/output/output_imu/simulation/dataset_allsensor_003"
generated,"2026-09-18T13:01:04"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"20476"
first_stamp_s,"49.975"
last_stamp_s,"152.35"
duration_s,"102.375"
mean_rate_hz,"200.009768009768"
gt_count,"5119"
gt_first_stamp_s,"49.98"
gt_last_stamp_s,"152.34"
source_covariances_populated,"none (all zero in bag)"
param_gyro_bias_z,"0.0006087537772644431"
param_accel_bias_x,"0.030851747317369376"
param_max_tilt_deg,"0.0018386574147038347"
param_updates,"0"
