key,value
experiment_id,"exp-estimator-baseline"
estimator,"imu"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_002/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_imu/simulation/dataset_allsensor_002"
command,"script/proprio_estimator.py run --estimator imu --bag /home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_002/sensor_noise.yaml --experiment-id exp-estimator-baseline --out /home/ambushee/wil_project/output/output_imu/simulation/dataset_allsensor_002"
generated,"2026-09-18T09:33:46"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"17349"
first_stamp_s,"57.525"
last_stamp_s,"144.265"
duration_s,"86.73999999999998"
mean_rate_hz,"200.01152870647917"
gt_count,"4338"
gt_first_stamp_s,"57.52"
gt_last_stamp_s,"144.26"
source_covariances_populated,"none (all zero in bag)"
param_gyro_bias_z,"9.281203736670769e-05"
param_accel_bias_x,"0.06830307223326457"
param_max_tilt_deg,"0.0014912187830672932"
param_updates,"0"
