key,value
experiment_id,"exp-estimator-baseline-xval"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf/simulation/dataset_allsensor_002_xval"
command,"script/proprio_estimator.py run --estimator ekf --bag /home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise.yaml --allow-foreign-noise --experiment-id exp-estimator-baseline-xval --out /home/ambushee/wil_project/output/output_ekf/simulation/dataset_allsensor_002_xval"
generated,"2026-09-18T09:34:05"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"17350"
first_stamp_s,"57.52"
last_stamp_s,"144.265"
duration_s,"86.74499999999998"
mean_rate_hz,"200.01152804196212"
gt_count,"4338"
gt_first_stamp_s,"57.52"
gt_last_stamp_s,"144.26"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_updates,"4338"
param_speed_sigma,"0.04068130046314097"
param_yaw_sigma,"0.06587401961518753"
param_gyro_bias_final,"0.0008825003502777885"
param_gyro_bias_initial,"6.48448627588984e-05"
