key,value
experiment_id,"exp-estimator-baseline"
estimator,"wheel"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_001/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_wheel/simulation/dataset_allsensor_001"
command,"script/proprio_estimator.py run --estimator wheel --bag /home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_001/sensor_noise.yaml --experiment-id exp-estimator-baseline --out /home/ambushee/wil_project/output/output_wheel/simulation/dataset_allsensor_001"
generated,"2026-09-17T18:24:56"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"81819"
first_stamp_s,"9.545"
last_stamp_s,"91.363"
duration_s,"81.818"
mean_rate_hz,"1000.0122222493828"
gt_count,"4091"
gt_first_stamp_s,"9.56"
gt_last_stamp_s,"91.36"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_speed_sigma,"0.048373635990660545"
param_yaw_sigma,"0.08038293978063044"
param_updates,"0"
