key,value
experiment_id,"exp-ekf-noise-transfer"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-ekf-noise-transfer/noise/dataset_allsensor_001/sensor_noise_gyroonly.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf_ablation/simulation/dataset_allsensor_001_gyroonly"
imu_gyro_sigma_z,"0.028284271247464715"
imu_accel_sigma_x,"0.1965949024507398"
imu_gyro_bias_rw,"1e-05"
imu_gyro_bias_rw_source,"assumed (static window too short to measure)"
wheel_speed_sigma,"0.048373635990660545"
noise_model_bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3"
noise_model_override,"ablation:gyroonly"
noise_model_is_foreign,"False"
command,"script/proprio_estimator.py run --estimator ekf --bag /home/ambushee/wil_project/dataset/dataset_allsensor_001/dataset_allsensor_001_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-ekf-noise-transfer/noise/dataset_allsensor_001/sensor_noise_gyroonly.yaml --experiment-id exp-ekf-noise-transfer --out /home/ambushee/wil_project/output/output_ekf_ablation/simulation/dataset_allsensor_001_gyroonly --allow-foreign-noise"
generated,"2026-09-20T21:41:22"
git_commit_superproject,"b3785cddf494273d51e8a55098d7fe0ecb89d7bf"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"16364"
first_stamp_s,"9.545"
last_stamp_s,"91.36"
duration_s,"81.815"
mean_rate_hz,"200.01222269754936"
gt_count,"4091"
gt_first_stamp_s,"9.56"
gt_last_stamp_s,"91.36"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_updates,"4091"
param_speed_sigma,"0.048373635990660545"
param_yaw_sigma,"0.08038293978063044"
param_gyro_bias_final,"0.0023704146761200813"
param_gyro_bias_initial,"7.752214526179292e-05"
