key,value
experiment_id,"exp-estimator-ablation"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_002/sensor_noise.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf/simulation/dataset_allsensor_002_diffyaw"
command,"script/proprio_estimator.py run --estimator ekf --yaw-model differential --bag /home/ambushee/wil_project/dataset/dataset_allsensor_002/dataset_allsensor_002_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_002/sensor_noise.yaml --experiment-id exp-estimator-ablation --out /home/ambushee/wil_project/output/output_ekf/simulation/dataset_allsensor_002_diffyaw"
generated,"2026-09-18T14:17:48"
git_commit_superproject,"75911867ae35e1e40065b999eff8377f602bdbac"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"17350"
first_stamp_s,"57.52"
last_stamp_s,"144.265"
duration_s,"86.74499999999998"
mean_rate_hz,"200.01152804196212"
gt_count,"4338"
gt_first_stamp_s,"57.52"
gt_last_stamp_s,"144.26"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"differential"
param_updates,"4338"
param_speed_sigma,"0.0496464692084694"
param_yaw_sigma,"0.26197929689826766"
param_gyro_bias_final,"0.00018462771829673164"
param_gyro_bias_initial,"9.281203736670769e-05"
